start	end	text
0	17000	FFM Radio präsentiert die Compilation of Fabula Nobuo Crystallis
30000	44000	Der Wurm-Öl-Turm der Bestiers
45000	46000	Ah, was ist das?
47000	49000	Wieso fackelt alles so?
50000	52000	Ist das Mockzilla?
53000	55000	Nein, noch nicht Mockzilla, das gibt's doch nur in diesen Palma-Filmen.
56000	57000	Junge, was stehst du da dumm rum?
58000	60000	Der Boden hat auf einmal angefangen zu vibrieren.
61000	62000	Der Bunga, der Bista war das.
63000	66000	Er ist mit diesem gelben Kristall, er hat irgendwas beschworen.
67000	70000	Kristall? Woher weißt du von unserem Kristall?
71000	72000	Du hast unseren Kristall geklaut?
72000	73000	Du, Dieb!
74000	75000	Gib uns den Kristall wieder!
76000	78000	Ja, aber ich wollte doch nur, dass ihr wieder Moderatoren seid.
79000	80000	Wieso beklaust du uns dann?
81000	82000	Wir sind ja keine Moderatoren mehr, Junge.
83000	86000	Du willst nur noch mal sterben!
87000	88000	Aus dem Boden!
89000	91000	FFM, hilf mir, der Boden!
92000	94000	Bitte mir, ich falle!
124000	125000	So, ich bin wieder dran.
126000	127000	Mit A6 komme ich raus, oder?
128000	130000	Was brauche ich denn, um von deinen Viguren zu schlagen?
131000	133000	Da brauche ich eine 1, hier brauche ich eine 3.
134000	136000	Kapantell, mach einfach!
137000	138000	Du musst doch einfach nur würfeln.
139000	140000	Verbess, ja, ärgere dich nicht.
141000	142000	Muss man doch einfach nur würfeln.
143000	144000	Mein lieber Leviathan, das ist eine Wissenschaft für sich.
145000	146000	Hier muss ich nämlich gucken, was ich würfeln muss.
147000	149000	Weil wenn ich weiß, was ich würfeln muss, dann würfel ich ja anders.
150000	152000	Und dann kommt es eher hin mit den Würfeln.
152000	153000	Würfel doch einfach!
154000	157000	Okay, ich brauche eine 1 oder eine 3 oder eine 6, um rauszukommen.
158000	160000	Okay, na ja, 5, na toll, siehst du?
161000	162000	Ja, also...
163000	164000	Nur weil du mich abgelehnt hast.
165000	166000	Sei ruhig, ich möchte Ruhe würfeln.
167000	168000	Du brauchst auch deine Ruhe.
169000	175000	Oh, eine 1, damit kann ich 1 weiter.
176000	177000	Bin ich wieder dran?
178000	179000	Ja, du bist wieder dran.
179000	180000	Ich bin wieder dran.
181000	182000	Okay, was brauche ich?
183000	184000	Ich brauche eine 1 hier und eine 3 da.
185000	186000	Da musst du doch nicht überlegen.
187000	189000	Du musst doch einfach nur würfeln.
190000	192000	Durch deinen Zug hat sich jetzt das ganze Spiel geändert.
193000	195000	Ich muss jetzt wieder komplett neu anfangen und gucken, wie die Situation ist.
196000	199000	Ich muss doch wissen, was ich würfeln muss.
200000	202000	Du musst das schon ein bisschen ernst nehmen, das Spiel, sonst macht das keinen Spaß.
203000	205000	Ich nehme es doch ernst, du musst trotzdem einfach nur würfeln.
206000	207000	Ich muss meine Taktik zurechtlegen.
207000	208000	Das ist ein Glücksspiel, du musst nur würfeln.
209000	210000	Hetzt mich nicht.
211000	212000	Ich muss nachdenken.
213000	214000	Jetzt brauche ich eine 4.
215000	216000	Ich habe mich entschieden, ich brauche eine 4.
217000	218000	Würfel doch einfach.
219000	220000	Ruhe, Konzentration und...
221000	223000	Wieso kommt jetzt eine 2, das macht überhaupt keinen Sinn.
224000	225000	Glück.
226000	227000	Aber ich brauche doch keine 2.
228000	229000	So ist halt das Spiel.
230000	231000	Ich glaube, dieser Würfel ist kaputt.
232000	233000	Wir brauchen einen anderen Würfel.
234000	235000	Er stumpft.
235000	236000	Ah, Titan ist zurück.
237000	238000	Mein schöner Titan.
239000	240000	Ach schon, das wäre schnell.
241000	242000	Ah, Gott sei Dank.
243000	244000	Titan ist zurück.
245000	246000	Ah, Titan.
247000	248000	Hallo.
248000	249000	Wie war es denn so da draußen?
250000	251000	Wundervoll.
252000	253000	Titan hat einen ganzen Zirkus platt gemacht.
254000	255000	Ah, du wurdest gerufen, Titan.
256000	257000	Ich mag Zirkus.
258000	259000	Titan wird oft gerufen.
260000	261000	Titan ist dein großer Krieger.
262000	263000	Ah, Titan, du bist wirklich groß und stark.
263000	264000	Ach, mein schöner Titan.
265000	266000	Du bist mein Freund.
267000	268000	Titan ist mein Freund.
269000	270000	Ja, und meiner auch.
271000	272000	Guck mich nicht an.
273000	274000	Wir waren gerade dabei.
275000	276000	Das macht man nicht.
277000	278000	Titan, wir waren gerade dabei.
279000	280000	Eine Runde Bestia ärgert dich nicht zu spielen.
281000	282000	Hast du Lust mit mir?
283000	284000	Ich war am Gewinnen.
285000	286000	Titan spielt gerne Bestia, ärgere dich nicht.
287000	288000	Ruhig sehe ich.
289000	290000	Kabankel, wie wäre es, wenn du mal dich verziehen würdest?
291000	292000	Ich möchte hier mit Titan weiter spielen.
293000	294000	Du kannst ja noch nicht mal direkt.
295000	296000	Wir waren doch gerade mit dabei.
297000	298000	Geh einfach, geh einfach, Kabankel, geh.
299000	301000	Titan übernimmt jetzt die Kontrolle über das Spiel.
302000	303000	Ja, Titan.
304000	305000	Dann spiele ich halt was anderes.
306000	307000	Ja, ja, hau ab.
308000	309000	Titan würfelt.
313000	314000	Warum wollte er nicht mit mir spielen?
315000	316000	Nur weil ich am Gewinnen war?
317000	319000	Nein, so unfair ist er eigentlich nicht.
320000	321000	Vielleicht wollte er lieber mit Titan spielen.
321000	322000	Aber ich hätte doch mitspielen können.
323000	324000	Vielleicht hätte er schon genug mit mir gespielt.
325000	326000	Ich kann jetzt was anderes spielen.
327000	328000	Verstecken.
329000	330000	Nee, das funktioniert nicht.
331000	332000	Ich kann was singen.
333000	334000	Nee, ich kann nix singen.
335000	336000	Ich kann die Höhle erkunden.
337000	338000	Eigentlich kenne ich schon alles.
339000	340000	Ich bin hier oft genug.
341000	342000	Ich kann die Höhle auf dem Kopf erkunden.
343000	344000	Ja, auf dem Kopf sieht bestimmt alles ganz anders aus.
347000	349000	Ich weiß gar nicht, wo oben und wo unten.
349000	350000	Oh, meine Nase.
351000	352000	Was bist du denn?
353000	354000	Du bist fleischig.
355000	356000	Ich gitz.
357000	358000	Du bist grün.
359000	360000	Ein grüner Stachel.
361000	362000	Mock oder sowas.
363000	364000	Oder wie?
365000	366000	Guck dich mal an.
367000	368000	Ich bin tot.
369000	370000	Du bist Gott.
371000	372000	Gott, bist du Gott?
373000	374000	Ich bin unter die Erde gefallen mit dem Zirkuszelt.
375000	376000	Und jetzt bin ich bei Gott.
377000	378000	Du bist verrückt.
379000	380000	Was, Kapankel?
381000	382000	Ja, ich bin Kapankel.
383000	384000	Was willst du?
385000	386000	Wo bin ich?
387000	388000	Ich bin DJ Don.
389000	390000	Ich bin Kapankel.
391000	392000	Ich bin Kapankel.
393000	394000	Du bist im Ostflügel.
395000	396000	Im Ostflügel?
397000	398000	Ja, von unserem Turm.
399000	400000	In dem Turm, wo wir wohnen.
401000	402000	Wer wohnt?
403000	404000	Ich und meine Freunde.
405000	406000	Das sind meine Freunde.
407000	408000	Kann ich hier irgendwie raus?
409000	410000	Wir müssen fragen.
411000	412000	Kennst du irgendwelche lustigen Spiele?
413000	414000	Was?
415000	416000	Was lustiges zum Spielen?
417000	418000	Ja, doch.
419000	420000	Ich sehe etwas, was du nicht siehst.
421000	422000	Das ist ein lustiges Spiel.
423000	424000	Da sieht man, was der andere sieht.
425000	426000	Ich sehe etwas, das ist braun.
427000	428000	Die Decke.
429000	430000	Jetzt bin ich dran.
431000	432000	Ich sehe etwas, was du nicht siehst.
433000	434000	Das ist halb Ucker und halb Olivenbraun.
435000	436000	Ein Pilz?
437000	438000	Meine Jacke?
439000	440000	Meine Schuhe?
441000	442000	Der Stein.
443000	444000	Der Stein, der ist braun.
445000	446000	Der ist zur Hälfte Ocker.
447000	448000	Nein, der ist braun.
449000	450000	Unten drunter ist der Ocker.
451000	452000	Wer hätte darauf kommen können, dass er unten drunter Ocker ist?
453000	454000	Du siehst es ja nicht, ich sehe es.
455000	456000	Es war verdeckt, du hast es nicht gesehen.
457000	458000	Ich kenne den Stein.
459000	460000	Dann hast du es nicht gesehen.
461000	462000	Du könntest mir auch helfen, hier rauszukommen.
463000	464000	Wie wäre es mit Fangen?
465000	466000	Ich fange an.
466000	467000	Toll, super.
468000	469000	Fange ich.
470000	471000	Gut, dann fange ich dich, du dummes grünes Pixel.
472000	473000	Fange ich.
474000	475000	Ja.
476000	477000	Du bist gruselig.
478000	479000	Siehst du nicht, wie fett ich bin?
482000	483000	Können wir bitte etwas anderes spielen?
484000	485000	Das scheint nicht so gut empfangen zu sein.
486000	487000	Meine Tabletten hier.
489000	490000	Noch mal darauf zurückzukommen.
491000	492000	Wir wollten doch spielen, dass du mir hilfst.
493000	494000	Kennst du ein besseres Spiel?
494000	495000	Ja, das Spiel heißt, hilf mir raus.
496000	497000	Hilf mir raus, ist das lustiges Spiel überhaupt.
498000	499000	Aber wir haben keine Kiste, wie sollen wir das spielen?
500000	501000	Was, eine Kiste?
502000	503000	Hilf mir aus der Kiste.
504000	505000	Nein, nicht hilf mir aus der Kiste.
506000	507000	Hilf mir aus dieser Höhle.
508000	509000	Verstecken ist auch lustig.
510000	511000	Wir können Verstecken spielen.
512000	513000	Ja, das finde ich super, versteck dich.
514000	515000	Du musst bis 10 zählen.
516000	517000	10, 9, 8, 7, andersherum.
518000	519000	1, 2, 3, 4, 5, 6, 7, 8, 9, 10.
520000	521000	Such mich.
522000	523000	Ja, ich such dich.
524000	525000	Ja, sicherlich.
526000	527000	Okay, das dumme Ding spielt Verstecken.
528000	529000	Und ich bin hier allein in so einer komischen Höhle.
530000	531000	Ich muss hier raus.
532000	533000	Ja, hier rauskommen ist eine gute Idee.
534000	535000	Ich laufe einfach geradeaus.
536000	537000	Genau, jetzt hier geradeaus.
538000	539000	Was ist das denn?
540000	541000	Das ist hier, das ist das Zirkuszelt.
542000	543000	Wie kommt das denn da hin?
544000	545000	Das Zirkuszelt ist hier runter und dahin.
546000	547000	Ach du meine Güte, was ist das denn?
548000	549000	Eine gelbe, riesen Actionfigur.
550000	551000	Keine Ahnung, was das ist.
552000	553000	Und daneben ist ein Fisch.
554000	557000	Das ist der große Fisch, den Bista damals beim Angelwettbewerb gefangen hat.
558000	559000	Und die spielt?
560000	561000	Ich geh mal näher ran.
562000	564000	Titan zieht eine Figur, fünf Felder weiter.
565000	567000	Ja, das geht schön schnell mit dir, Titan.
568000	570000	So, Würfelmaß.
571000	572000	Ah, nur sechs, nur sechs.
573000	575000	Ich kann jetzt mit einer Figur rauskommen.
576000	577000	Und jetzt darf ich noch mal würfeln.
578000	579000	Würfelmaß.
580000	581000	Zwei Felder vor.
582000	583000	Titan würfelt.
584000	585000	Du würfelst?
586000	587000	Titan würfelt eine Drei.
588000	590000	Er schlägt die Figur von Leviathan.
591000	592000	Das ist blöd.
593000	595000	Titan, wie kannst du nicht den Würfelrufzug rückgängig machen?
596000	597000	Was spielen die dort?
598000	599000	Mensch, ärgere dich nicht, oder was?
600000	602000	Okay, ich glaub, ich muss hier ganz schnell weg.
603000	605000	Ich glaub, ich geh am besten wieder in die andere Richtung.
606000	609000	Titan empfängt Signale von unerwünschten Besuchern.
610000	611000	Was?
612000	613000	Titan hat eine Menschen geortet.
614000	617000	Was machst du in unserem Reich?
618000	619000	Hilfe.
620000	621000	Der Mensch muss zerquetscht werden.
622000	623000	Ja, genau, zerquetsch ihn.
624000	627000	Titan hebt seinen Fuß und leitet den Zerquetschvorgang ein.
628000	629000	Nein, nicht zerquetsch.
630000	631000	Nein, helfe.
632000	633000	Hier bist du, ich hab dich überall gesucht.
634000	635000	Ich glaub, du hast das Spiel noch nicht richtig verstanden.
636000	637000	Ich versteh mich und du suchst mich.
638000	639000	Hey, hey, hey, kannst du mir mal helfen?
640000	641000	Kennst du die?
642000	643000	Ja, das sind meine Freunde.
644000	645000	Und der Riese, da ist Titan.
646000	647000	Und irgendwo da hinten müsste noch Ramupen.
648000	649000	Zerstörungsvorgang wird gestoppt.
650000	651000	Kabanke, was machst du denn hier?
652000	653000	Guck mal, das ist mein Freund, wie heißt er eigentlich?
654000	655000	Ich weiß nicht, er heißt Fleischklops.
656000	657000	Nein, nicht Fleischklops, ich bin DJ Don.
