start	end	text
0	7000	Hohoho! Willkommen zum FFM Christmas Special!
7000	10000	The Fantasy is with you!
10000	13000	Frohe Weihnachten!
13000	21000	Ich bin DJ Don und willkommen bei unserem neuen jetzigen Christmas Special.
21000	26000	Ich bin DJ Don und neben mir ist nicht MC Sid.
26000	28000	Denn MC Sid ist leider heute nicht dabei.
28000	33000	MC Sid ist bei einer Radiofortbildung in Nibelulm.
33000	40000	Und hier habe ich aber stattdessen einen neuen Gastmoderator, nämlich den euch wohlbekannten Jojo.
40000	42000	Hallo!
42000	48000	Hallo Jojo! Schön, dass du heute mit mir dieses Radio moderierst.
48000	58000	Ja, also DJ Don, ich freue mich ja schon darauf, weil unser letztes Radio hat ja schon viel Spaß hervorgebracht, als ich mit meinen Subjekten und Objekten...
58000	63000	Ja, ja, ja, ich erinnere mich, ich erinnere mich, ja, ja, ja. Schön, Jojo, Jojo, Jojo.
63000	64000	Also ein Experiment...
64000	68000	Also ich glaube, jetzt weihnachtlich ist das überhaupt nicht so ein Experiment.
68000	71000	Wir möchten noch eine Frohe Stimmung vermitteln, euch, unseren Zuschauern.
71000	78000	Und darum spielen wir jetzt ein schönes Final Fantasy Weihnachtsmäßiges Superlied.
78000	87000	Ja, also auch wir von Shinra haben in unserem Hauptparty einen riesigen Weihnachtsbaum aufgestellt und wollen euch alle eine frohe Weihnacht wünschen.
87000	92000	Ja, ja, Jojo, lasst uns lieber noch ein Smirn auf Eis trinken.
92000	94000	Haha, Pro.
94000	97000	Nur noch Eis ist sehr, sehr lecker.
97000	99000	Ja, Alkoholpops.
99000	102000	Jetzt kommt ein Lied.
129000	131000	Ja, ja, ja.
159000	163000	Hallo, wir sind jetzt wieder hier bei unserem Weihnachtsspecial.
163000	165000	Hahaha.
165000	167000	Ja.
167000	172000	Oh, wir haben Großartiges vor an diese Weihnacht.
172000	175000	Ja, also Weihnachten, das mochte ich ja schon immer gern.
175000	181000	Als mein Vater noch gelebt hat, der Hojo, da haben wir immer Weihnachten gefeiert.
181000	187000	Mit unseren ganzen Subjekten wieder eingeladen und haben da Weihnachten gefeiert.
187000	190000	Also das war schon ein Spaß, aber ja.
190000	193000	Ja, ich hatte auch immer tolle Weihnachten.
193000	198000	Ich habe immer alleine meine Kerzen angemacht, meinen Kuchen und meine Gans gegessen.
198000	201000	Und naja, so weiter und so fort.
201000	205000	Bis dann irgendwann mal ich hier in diesem Radio-Kanal.
205000	207000	Ja, das ist sehr schön zu hören.
207000	210000	Also ich gehe jetzt mal kurz weg, DJ Don.
210000	212000	Ich gehe mal schnell vor die Tür.
212000	214000	Ich muss mal kurz weg.
214000	216000	Jojo.
216000	218000	Oh, Jojo ist weggegangen.
218000	220000	Na ja.
220000	222000	Dann kann ich hier noch ein bisschen warten.
222000	229000	Ich habe übrigens heute hier extra für Weihnachten, habe ich Mia und Phyme für Weihnachten.
229000	233000	Oh, ein Klopfen am Kamin.
233000	235000	Wer kann das bloß sein?
235000	237000	Der Weihnachtsmann vielleicht?
237000	241000	Ich mache mal die Kamin-Tür auf.
241000	243000	Cool.
243000	245000	Ja, das ist ein Kamin.
245000	247000	Ja, das ist ein Kamin.
247000	249000	Ja, das ist ein Kamin.
249000	251000	Ja, das ist ein Kamin.
251000	253000	Ja, das ist ein Kamin.
253000	255000	Ja, das ist ein Kamin.
255000	257000	Ja, das ist ein Kamin.
257000	259000	Kamin-Tür auf.
264000	266000	Ich bin der Weihnachtsmock.
266000	268000	Der Weihnachtsmock?
268000	270000	Was machst du denn hier Weihnachtsmock?
270000	280000	Also, ich habe mir gedacht, dass ich in diesem Radio mal kommen könnte, weil hier hören ja auch viele artige kleine Schoko-Boos zu.
280000	284000	Und da wollte ich eine frohe Weihnachtsbotschaft verbreiten.
284000	289000	Der Weihnachtsmock ist hier und der will uns allen eine frohe Weihnachtsbotschaft verbreiten.
289000	291000	Ja, wie ich bereits sagte.
291000	294000	Also, ich bin geschickt von Shinra.
294000	299000	Shinra ist ja auch so rot vom Konzernlogo und das passt so gut.
299000	301000	Auf meinem Anzug sehen sie hier.
301000	303000	Ah, ja.
303000	311000	Ja, und also wir wollen allen Leuten da draußen, allen Kindern, allen Schoko-Boos, allen Moggris eine frohe Weihnacht wünschen.
311000	315000	Und wir freuen uns, dass wir in diesem Radio sind.
315000	320000	Jetzt, wo der Weihnachtsmock da ist, werde ich dem Weihnachtsmock vor allem eine Frage stellen.
320000	324000	Also Weihnachtsmock, sie kommen ja aus dem Nordkrater her, Weihnachtsmock.
324000	327000	Und da wollte ich mal fragen, wie ist das denn so kalt?
327000	330000	Also, ich meine, sind das sicherlich ein bisschen frostig da draußen.
330000	335000	Haben sie sich da auch so richtig schöne, große, dicke Sachen an oder schwitzen sie da drunter?
335000	339000	Ich meine, das ist sicherlich sehr warm, wenn das da draußen kalt ist und wenn sie ganz warme Sachen anhaben.
339000	349000	Also mein Weihnachtsmann-Kostüm, also ich meine, meine Verkleidung, also ich meine, meinen Anzug, den trage ich ja dann immer.
349000	351000	Und da ist das schon ziemlich warm darunter.
351000	355000	Ja, also, ja, tolle Frage, ja.
355000	359000	Ja, ich glaube, wir machen jetzt eine kurze Werbeunterbrechung.
359000	366000	Und gleich sind wir wieder da mit DJ Don und dem Mocke-Christmas-Mann.
366000	370000	Wir sind gleich da und Jojo kommt vielleicht auch wieder. Bis bald!
382000	384000	Hallo und willkommen zu Shinra Shopping.
384000	391000	Hier auf dem wunderbaren Shinra-Kanal Shinra Information Networks haben wir wieder die neuesten Produkte für Sie.
391000	398000	Und hier ist unser großer Gast. Es ist der große Chef von Choco-Chocobos.
398000	410000	Hark! Hallo! Ich bin ein Chocobo! Und ich bin auf einem Queen-Ein-Gebäck-Studio-Stube.
410000	415000	Ich mache die neuen Choco-Chocobos für Weihnachten!
415000	420000	Das ist ja wunderbar! Schön, dass Sie hier sind, Mr. Choco-Chocobo.
420000	423000	Chefkoch! Choco-Chocobo!
423000	425000	Ja, wunderbar, dass Sie hier sind, Chefkoch.
425000	427000	Also, Sie haben uns ja was Tolles mitgebracht.
427000	432000	Diese Choco-Chocobos. Erzählen Sie uns doch mal was über diese Choco-Chocobos.
432000	439000	Ja, zu dieser weihnachtlichen Zeit habe ich viele verschiedene Choco-Chocobos gemacht.
439000	444000	Ein grüner Choco-Chocobo, ein roter Choco-Chocobo, ein kleiner, ein größer, ein kleiner Choco-Chocobo.
444000	446000	Viele verschiedene Choco-Chocobos!
446000	449000	Choco-Chocobos mag ich eben am besten!
449000	451000	Ja, das klingt ja wunderbar.
451000	454000	Also, meine Lieblings-Choco-Chocobos sind ja die weißen Chocobos.
454000	459000	Eigentlich aus der weißen Schokolade aus Wute, aber gut, lassen wir das.
459000	464000	Ja, weiße Choco-Chocobos sind aus einem speziellen Kraut gemacht.
464000	471000	Aus dem weißen Choco-Chocobo-Kraut namens Chocachochidabo.
471000	478000	Und Kinder, vergiss nicht, man kann verschiedene Choco-Chocobos transformieren und umbauen,
478000	482000	sodass ganz neue Choco-Chocobos daraus werden.
482000	485000	Also kauft ganz viele Choco-Chocobos!
485000	490000	Ja, das ist ja ein wunderbarer Anreiz, neue Choco-Chocobos zu erwerben.
490000	494000	Selbst wenn man im letzten Jahr schon welche gekauft hat, ist man ja denke ich begeistert.
495000	501000	Also, wir können nur sagen, kauft sie alle und holt sie euch jetzt bei Shinra Information Networks
501000	506000	für nur 500.000 Shinra-Gil für das 200er-Pack.
506000	507000	Verhark!
507000	513000	Wollen Sie in dieser Welt überleben, dann gibt es für Sie nur eine einzige Rettung.
513000	517000	Die Bomber-Lichter-Kette!
517000	520000	Sie leuchtet im Dunkeln, also...
520000	523000	Nur nicht explodieren lassen!
523000	527000	Kaufen Sie die Bomber-Lichter-Kette!
527000	530000	Und das Leben hat wieder einen Sinn.
532000	533000	Hallo!
533000	537000	Willkommen zurück nach dieser wunderbaren Werbung!
