start	end	text
0	24400	Das geheimnisvolle Königreich der Morbolts.
24400	31400	Es war einmal in der FFM-Welt, in einem weit, weit entfernten Königreich.
31400	37400	Da herrschte ein beglücktes Kaiser Morbol mit seinen sieben wunderschönen Morboidtöchtern
37400	41400	über den geheimnisvollen Golmorestaat.
41400	48400	Es begab sich aber zu der Zeit, da sollte die jüngste und hübscheste seiner Töchter vermehlt werden.
54400	60400	Hört, hört! Der Kaiser spricht! Hören wir was der Kaiser spricht! Unser Kaiser Morbol!
60400	66400	Lieber Untertanen, wir stehen vor einer schweren Krise.
66400	76400	Die jüngste und die jüngste meiner Tochter hat leider keinen Mundgeruch.
76400	85400	Daher hat sich kein Ehemann im ganzen Königreich gefunden, der sie ehelichen möchte.
85400	94400	Nun schreite ich zum letzten Mittel, das mir eingefallen ist und bekläre mich bereit.
94400	109400	Demjenigen von euch, der es gelingt jemandem zu finden, der meine liebreizende Tochter ehelichen möchte,
109400	118400	verspreche ich Wohlstand und Reichtümer in Fülle.
118400	130400	Stunden um Stunden schritten hinfort und niemand ließ sich finden, der jemanden kannte, der die bildhübsche, aber geruchsarme Tochter Myriam zur Frau nahm.
130400	134400	Ihre sechs Geschwister begannen bereits schabernackt mit ihr zu treiben.
134400	146400	Ah, Myriam, meine Schwester, du bist eine, eine stinkst ja gar nicht. Myriam, du wirst nie einen Mann finden, stimmt's Rosi?
146400	154400	Guck mal wie sie da sitzt in ihrer Ecke mit ihren kleinen Züngelchen und nix, nix, nix, nix, stinkig, stinkig aus dem Mund.
154400	161400	Ja, diese Schwester, du wirst nie so einen schönen Mundgeruch haben wie wir.
161400	165400	Wohlreiche Schwester, gib mir los der Nase.
170400	173400	Bis zu jenem schicksalsvollen Tag.
221400	224400	Wohlreiche Schwester, gib mir los.
251400	254400	Wohlreiche Schwester, gib mir los.
281400	297400	Ha, was für ein schöner, kühler Tag ist heute. Ich hoffe, ich werde heute an meinem Ziel ankommen.
297400	304400	Oh, ich sehe einen entfernten Händler, ein Morbolch-Mädchen scheint hier.
304400	306400	Guten Tag, Herr Morbolch.
306400	309400	Bleite durchstreifender Tom-Berry, Morbolch.
309400	315400	Bin ich richtig der Vermutung, dass ich in der Nähe des Staates Rollmore bin?
315400	320400	Morbolch, ihr seid bereits auf dem rechten Weg, mein Freund.
320400	331400	Freund? Sie nennen mich Freunde. Freunde, Freunde muss man sich erkämpfen. Ehrenvolle Aufgaben, besiegte Puttige, das alles macht Freunde aus.
331400	337400	Ich nenne Sie nicht, mein Freund, doch wäre es nett, wenn Sie mir die Richtung verraten würden.
337400	339400	Rüstung Osten.
340400	348400	Und so erreichte der reisende Tom-Berry schließlich die großen Schlossmauern von Kaiser Morbolch.
351400	356400	Ich bitte um Erlaubnis, mit Ihnen zu bereden, Ihr Problem.
356400	360400	Nun denn, schware fort, kleine Tom-Berry.
360400	370400	Mir kam zu Ohren von einem Mann, der sich selbst den großen Mombatonteur nannte, dass er von einer Frau namens Brunhilde gehört habe,
370400	383400	dass diese wiederum jemanden kannte, der einen Morbolch kannte, der davon hörte, dass in einem entfernten Königreich namens Rollmore eine Morbolch-Töchterchen keinen Mundgeruch besäße.
383400	385400	Ihr hörtet richtig.
385400	388400	Ich bin gekommen, um Ihr Problem zu lösen.
388400	394400	Mich freut dies zu hören, doch wie gedenkt Ihr dieses schwere Tatsbewerb?
