start	end	text
0	10560	Hallo alle zusammen, ich bin wieder Heidegger und ich habe mir eine neue Idee ausgedacht.
10560	20320	Heute machen wir das große FFM Radio Outtake Spezial. Es ist eine große Veranstaltung und
20320	27200	wir haben uns zusammengesetzt, wir haben viel herausgesucht und das Beste vom Besten,
27200	34080	nur die Besten, kamen hier in dieses Outtake Spezial. Feiert mit mir zusammen die Stars dieser
34080	42000	großen Sendung. Willkommen DJ Don. Ja hallo Heidegger, es ist mir eine große Freude hier
42000	47960	bei dir zu sein. Ja DJ Don, das ist wunderbar. Es freut mich, dass du es geschafft hast hier zu
47960	55120	sein im FFM Outtake Spezial. Ich meine dadurch, dass unser Studio ja zerstört worden ist und wir
55120	58840	brauchen halt ein bisschen Geld, deswegen dachte ich mir, so eine Show könnte ein bisschen was
58840	65280	einbringen. Ja eine großartige Idee, ich weiß, diese Show wird präsentiert von mir und Shinra,
65280	73400	aber genug dazu, denn ich habe noch einen weiteren großartigen Gast. Er ist hier erst angereist,
73400	82600	extra für euch. Hier ist MC Sid. Hallo Heidegger. Hallo MC Sid, ich begrüße dich in dieser Sendung.
82600	87960	Ich freue mich endlich einmal eine Sendung mit dir machen zu dürfen. Ich bin auch, falls ich es schon
87960	92960	erwähnt habe, ich bin auch ein ganz großer Fan von deiner anderen Sendung mit Gasuch den Shinra Star.
92960	98920	Ich verpasse keine Folgen, ich gucke sie mir alle an, ich finde sie so toll. Ja, gut, dann lasst uns
98920	106120	beginnen mit dem großen Spektakel. Eine große Show erwartet uns, ich freue mich darauf. Doch wollt ihr
106120	111120	noch etwas sagen, denn ich meine die Zuschauer sollten ja auch erfahren, wie hat es eigentlich
111120	119840	angefangen mit dem ganzen FM Radio DJ Don? Also das Konzept, wir hatten mehrere Konzepte,
119840	125280	hatten wir uns überlegt damals vor langer langer Zeit und wir möchten euch ein Konzept
125280	135600	heute vorstellen, also lasst euch überraschen. Willkommen bei Kuschelradio mit mir und meinem
135600	142920	kuscheligen Freund. Hi, wir sind schon ganz aufgeweckt, weil heute ist es unsere erste Sendung,
142920	148920	stimmt's? Ja, wir haben gerade erst angefangen Radio zu machen und wir haben uns gedacht, wir sind
148920	154280	beide so kuschelig und haben so ein Kuschelbedürfnis und so ein großes kuscheliges Busy Bear Herz,
154280	159480	dann müssten wir einfach ein Kuschelradio machen. Ja und deswegen haben wir auch dieses schöne Lied
159480	166800	von Robbie Williams und einem großen Idol gespielt, ist es nicht schön? Es ist wunderbar
166800	178120	kuschelig. Das ist klasse. Und ein busy bearerigen Gruß an euch alle da draußen. Ich schicke euch
178120	189400	die Wellen der Liebe. Lieber nicht. Also schaltet ihr uns immer ein Kuschelradio auf 199,993.
189400	199920	DJ Don 199,3, ist das nicht witzig? Das war noch Zeit. Ja, es ist ganz furchtbar, dass wir dieses
199920	205360	Konzept nicht aufgenommen haben. Ja schade, was nicht ist, kann ja noch werden, mein kuscheliger
205360	210280	Freund. Ja, aber wir haben uns ja Gott sei Dank für einen anderen Anfang entschieden. Ja,
210280	213640	jetzt hört ihr den wahren Anfang aller Anfänge.
213640	223400	Willkommen bei FFM Radio. Die Fantasie ist mit dir.
223400	243680	Willkommen bei FFM Radio. Die Fantasie ist mit dir.
243680	271280	Willkommen bei FFM Radio. Die Fantasie ist mit dir.
271280	298880	Willkommen bei FFM Radio. Die Fantasie ist mit dir.
299760	306720	Aber ich habe gehört, als ihr das erste Radio fertiggestellt hattet, hattet ihr nicht nur Freunde
306720	313040	damit gewonnen. Nein, wir hatten Konkurrenten, Fremde, die neidisch auf unseren großen Erfolg
313040	320800	waren. Insbesondere natürlich den Unruheherd. Der Unruheherd. Und darum haben wir uns gedacht,
321120	330360	wir zeigen es dem Unruheherd. Willkommen beim FFM Radio. Wir bieten euch alles. Spannung,
330360	335160	Action und Witz. Und vor allen Dingen bieten wir euch das, was uns Paper Jam nicht bieten kann.
335160	350680	Intelligenz. Ja, dann kam ja schon das zweite Radio. Eine große
350680	356640	Show. Großartig. Ich würde sagen, das ist das Highlight des FFM Radios, man könnte so
356640	362120	beschreiben. Na ja, das kann man, hat jeder, glaube ich, eine eigene individuelle Meinung.
362120	371160	Ja, das war eine großartige Show. Shinra war allseits präsent. Shinra und Myrn auf Eis.
371160	375640	Das waren noch Zeiten. Ja gut, aber vernünftig lachen konntest du ja damals nicht.
375640	398440	Was soll ich denn tolles machen?
398440	413880	Das war verdammt dämlich, oder?
413880	423920	Das war gut, scheiße.
453920	467160	Ja, wir haben einiges getan, um unser Anfangskapital zusammenzutragen. Nicht nur neben Heidegger
467160	473000	hatten wir auch noch Shinra Shopping als zusätzliche Einnahmequelle. Ja, die gute,
473000	498160	alte Werbung.
498160	514960	Ein großartiger Teil war dann auch, wo mein lieber Kollege Regisseur Palma auftrat, der
514960	520000	großartige vierte Teil. Ich habe gehört, er ist bei den Fans äußerst beliebt. Ja,
520000	525280	Regisseur Palma war immer wieder gern gesehen. Also ich muss sagen, mir war er ja nie so
525520	530440	sympathisch. Ich hatte auch das Gefühl, dass er seine Charaktere nicht wirklich ernst nimmt.
530440	537280	Also ich muss mal sagen, A Lord of the Mox, das war ein höchst ernster Film. Ich meine,
537280	539280	es geht um einen Mobbet.
539280	567520	Also ich muss mal sagen,
569280	591280	Lord of the Mox, ich fand nicht, dass das ein TV-Film war. Aber nicht nur der Mobbet ist
591280	596960	eins der großen Palma-Meisterwerke. Ja, da gibt es ja jetzt diesen Recher mit dem Bommel.
596960	605120	Ich meine, wie heißt das doch mal MC-Sit? Der Recher mit dem Bommel? Der dunkle Recher
605120	614200	mit dem Bommel. Ach so, du meinst den großartigen, von allen Schurken und Verbrechern gefürchteten
614200	624640	Mockman. Vom Regisseur von Mockrix Reloaded und Mock After Tomorrow und Mock Reloyale jetzt.
624640	638440	Mock Reloyale, ja. Regisseur Palmas Bad Mock. Mockman. Regisseur Palmas Mockman. The Dark Mock.
