start	end	text
0	5000	Willkommen bei dem FM Radio Sommerspecial.
5000	8000	Come on Summer in the Mockery.
8000	11000	Come on Summer in the Mockery.
11000	14000	You'll look everywhere.
14000	16000	The juggelbos run away.
16000	19000	And swiddling, swiddling, swiddling.
19000	22000	Everywhere it's sun, sun, sun, sun.
22000	27000	Mocks, sun, mocks, sun, sun.
27000	40000	Ja, willkommen beim FM Radio Sommerspecial mit viel Sonne und Schweiß.
40000	44000	Super Sonder Sommerspecial.
44000	53000	Wir haben hier, aber, aber, aber, ja, ja, ähm, ja, weil wir sind aber ganz glücklich, weil wir, uns ist gar nicht heiß.
53000	56000	Eigentlich ist uns sehr kühl.
56000	62000	Draußen ist eine Brüllenhitze, das ist abartig, da schmilzen schon die Platanen und die...
62000	72000	Die Kuponüsse, das Kuponus-Eis schmilzt und, äh, auf jeden Fall, ja, wir haben hier super mega Klimaanlage, das, äh, haben wir, äh, Gott sei Dank gebaut.
72000	78000	Also das haben wir dadurch, dass halt der Krieg tot ist und wir sind glücklich.
78000	86000	Ja, wir haben ein paar Einsparungen seitens DJ Dons extrem DVD-Konsum gemacht und dadurch konnten wir uns...
86000	88000	Ja, aber eigentlich, eigentlich, finde ich, muss es gar nicht nötig.
88000	90000	Wir können ja natürlich ein bisschen schwitzen nochmal.
90000	96000	Doch, doch, das war sehr dringend nötig und dadurch haben wir so viel Geld gehabt, dass wir uns noch eine Klimaanlage reißen konnten.
96000	98000	Ja.
98000	100000	Wollen wir mal ein Lied spielen oder so?
100000	101000	Ja, finde ich auch.
101000	104000	Ein sommerliches, ey, lieber was Kühles.
104000	106000	Nee, nee, nee, nee, nee, ich finde eigentlich, nein.
106000	108000	Hier ist viel zu kalt hier hoch.
108000	113000	Nee, ich bin einfach, ich meine, das Special heißt Sommerspecial und da müssen wir auch im Sommer...
113000	115000	Dann brauchst du immer so was richtig sommerliches.
115000	121000	Einfach irgendwie, damit ihr euch auch im Pool, wenn ihr euch das anhört, euch gut fühlt.
121000	125000	Dass ihr das richtige Sommer-Feeling habt, das Costa del Sol-Feeling.
125000	127000	Rumba.
127000	128000	Rumba.
128000	129000	Wah.
129000	130000	Momba.
130000	132000	Momba.
136000	137000	Momba.
166000	167000	Momba.
167000	168000	Momba.
168000	169000	Momba.
169000	170000	Momba.
170000	171000	Momba.
171000	172000	Momba.
172000	173000	Momba.
173000	174000	Momba.
174000	175000	Momba.
175000	176000	Momba.
176000	177000	Momba.
177000	178000	Momba.
178000	179000	Momba.
179000	180000	Momba.
180000	181000	Momba.
182000	183000	Momba.
183000	184000	Momba.
184000	185000	Momba.
185000	186000	Momba.
186000	187000	Momba.
187000	188000	Momba.
188000	189000	Momba.
189000	190000	Momba.
190000	191000	Momba.
191000	192000	Momba.
192000	193000	Momba.
193000	194000	Momba.
194000	195000	Momba.
195000	196000	Momba.
196000	197000	Momba.
197000	198000	Momba.
198000	199000	Momba.
199000	200000	Momba.
200000	201000	Momba.
201000	202000	Momba.
231000	232000	Momba.
232000	233000	Momba.
233000	234000	Momba.
234000	235000	Momba.
235000	236000	Momba.
236000	237000	Momba.
237000	238000	Momba.
238000	239000	Momba.
239000	240000	Momba.
240000	241000	Momba.
241000	242000	Momba.
242000	243000	Momba.
243000	244000	Momba.
244000	245000	Momba.
245000	246000	Momba.
246000	247000	Momba.
247000	248000	Momba.
248000	249000	Momba.
249000	250000	Momba.
250000	251000	Momba.
251000	252000	Momba.
252000	253000	Momba.
253000	254000	Momba.
254000	255000	Momba.
255000	256000	Momba.
256000	257000	Momba.
257000	258000	Momba.
258000	259000	Momba.
259000	260000	Momba.
260000	261000	Momba.
261000	262000	Momba.
262000	263000	Momba.
263000	264000	Momba.
264000	265000	Momba.
265000	266000	Momba.
266000	267000	Momba.
267000	268000	Momba.
268000	269000	Momba.
269000	270000	Momba.
270000	271000	Momba.
271000	272000	Momba.
272000	273000	Momba.
273000	274000	Momba.
274000	275000	Momba.
275000	276000	Momba.
276000	277000	Momba.
277000	278000	Momba.
278000	279000	Momba.
279000	280000	Momba.
280000	281000	Momba.
281000	282000	Momba.
282000	283000	Momba.
283000	284000	Momba.
284000	285000	Momba.
285000	286000	Momba.
286000	287000	Momba.
287000	288000	Momba.
288000	289000	Momba.
289000	290000	Momba.
290000	291000	Momba.
291000	292000	Momba.
292000	293000	Momba.
293000	294000	Momba.
294000	295000	Momba.
295000	296000	Momba.
296000	297000	Momba.
297000	298000	Momba.
298000	301000	Momba.
301000	302000	Momba.
302000	303000	Momba.
303000	304000	Momba.
304000	305000	Momba.
305000	306000	Momba.
306000	307000	Momba.
307000	308000	Momba.
308000	309000	Momba.
309000	310000	Momba.
310000	311000	Momba.
311000	312000	Momba.
312000	313000	Momba.
313000	314000	Momba.
314000	315000	Momba.
315000	316000	Momba.
316000	317000	Momba.
317000	318000	Momba.
318000	319000	Momba.
319000	320000	Momba.
320000	321000	Momba.
321000	322000	Momba.
322000	323000	Momba.
323000	324000	Momba.
324000	325000	Momba.
325000	326000	Momba.
326000	327000	Momba.
327000	328000	Momba.
328000	329000	Momba.
329000	330000	Momba.
330000	331000	Momba.
331000	332000	Momba.
332000	361920	Ja, das war ein super Lied von Rico aus Final Fantasy.
361920	364840	Ja, das war ein super Lied von Rico aus Final Fantasy X.
364840	365840	Richtig.
365840	374840	Um genau zu sein, war das Hadashino Kiseki von, ich habe ihn vertan, es war Final Fantasy X2.
374840	375840	Vocal Collection.
375840	376840	Rico.
376840	377840	Rico.
377840	383040	Ja, wir sind hier voll fit dabei und tanzen hier mit unserem Samba-Musiker.
383040	384040	Auf dem Tisch.
384040	385040	Genau.
385040	386040	Und ziehen uns aus oder so.
386040	387040	Nein, bitte nicht.
387040	388040	Was denn?
388040	391040	So ein bisschen nach dem Körper.
391160	394160	Ja, erst ist dir kalt und jetzt ziehst du dich auf.
394160	397160	Jetzt so ein paar nackte Körmer, das braucht doch so ein Samba-Special.
397160	398160	Bikinis.
398160	399160	Unterhosen.
399160	404160	Du vergisst, beim Radio sieht man die Menschen nicht, das ist Fernsehen.
404160	405160	Fantasie.
405160	406160	Vorstellungskraft.
406160	407160	Ja, richtig.
407160	419160	Ihr könnt euch die Gillette vorstellen als 1,50m groß, 2m breit, 5m lange Füße und...
419280	422280	Ja, gut, dafür haben sie jetzt...
422280	423280	Groß.
423280	424280	Ähnlich einem Skelett.
424280	425280	Gut gebaut.
425280	426280	Steht wirklich ein Skelett vor.
426280	427280	Muskeln.
427280	428280	Ohne irgendetwas.
428280	429280	Von oben bis unten.
429280	430280	Wirklich nur Knochen.
430280	435280	Das ist knochenharte Arbeit, diese Muskeln aufzubauen, das ist richtig.
435280	436280	Und wirklich nur Knochen.
436280	439280	Ein Gesicht wie ein Gedicht.
439280	440280	Ein Adonis.
440280	447280	Ja, wenn man Mathe, Hade mag und eine Schlumpenase, aber ja, muss ja nicht wesentlich sein.
447400	453400	Dann lasst uns doch nicht über unsere körperlichen Schönheiten reden, sondern wir haben eine
453400	456400	Klimaanlage und wir sind gut drauf und...
461400	462400	Hast du das auch gehört?
462400	463400	Das ist...
463400	464400	Oh nein.
464400	465400	Nein.
465400	466400	Weckst du nicht die Hitze?
466400	467400	Ich rieche was.
467400	468400	Ich glaube...
468400	469400	Oh nein.
469400	470400	Ich rieche auch.
470400	471400	Die Klimaanlage ist kaputt.
471400	472400	Oh Gott.
472400	473400	Was machen wir jetzt?
473400	474400	Guck doch erst mal nach.
474400	475400	Ich guck mal.
475520	478520	Vielleicht ist die nur ein bisschen...
478520	481520	Angeschmort, explodiert.
481520	482520	Wie explodiert?
482520	483520	Kaputt.
483520	484520	Dann reparier sie.
484520	487520	Wie soll ich denn mit in der Klimaanlage reparieren?
487520	488520	Ja, richtig.
488520	489520	Ich glaube...
489520	490520	Oh Gott.
490520	491520	Es wird richtig heiß.
