start	end	text
0	17320	Wie lange brauchst du denn noch? Wie lange kann ein Mensch denn bitte rauchen, um seinen
17320	18320	Koffer zu packen?
18320	22280	Ja, ich suchte noch meinen Zocken MCs. Ich weiß nicht, wo meine Zocken sind, meine Chocobo-Socken.
22280	27280	Ich habe zwei Zocken. Eine links und eine für das andere, was andere von links. Ich weiß
27280	30840	nicht genau, wie das heißt. Aber wo ist der Zocken? Ich finde ihn, ich suche ihn schon
30840	33040	den ganzen Tag. In meiner Ecke ist der Zocken.
33040	35360	Ist gut, ich leide einen von meinen Zocken.
35360	39680	Nein! Ich will nicht deine komischen Morbol-Socken. Die stinken wie alte Morbols.
39680	41280	Schau mal, die sind grün.
41280	42280	Grün?
42280	43280	Die sind voll schick.
43280	44280	Und stinken.
44280	45280	Die stinken überhaupt nicht.
45280	46280	Ich wacke sie nicht.
46280	48760	Ich will meine eigenen Zocken. Ich habe meine ganz persönlichen Zocken und ich brauche sie
48760	49760	für mich alleine.
49760	50760	Wenn man zwei Prater...
50760	52240	Ohne meine Zocken verreist ich nicht.
52240	54840	Dann such, wo hast du sie denn das letzte Mal gesehen?
54840	58640	Ich weiß nicht. Ich hatte sie an die letzte Woche und jetzt weiß ich auch nicht mehr,
58640	59640	wo ich sie hingetan habe.
59640	61640	Hast du mal unter dem Schrank geguckt?
61640	62640	Unter dem Schrank?
62640	63640	Die sind doch nie im Unterenschrank.
63640	64640	Ganz ehrlich, meinem Zocken-Unterschrank.
64640	65640	Hast du unter dem Schrank geguckt?
65640	67640	Nein, aber da um die Zeit...
67640	68640	Dann guck doch mal unter dem Schrank.
68640	69640	Dann gucke ich halt unter dem Schrank.
69640	71640	Siehst du, da ist mein...
71640	72640	Ja, wir können gehen.
72640	73640	Hast du alles?
73640	74640	Ja.
74640	76640	Hast du auch an alles gedacht? Reisepass?
76640	77640	Reisepass, ja.
77640	78640	Echo Kraut?
78640	79640	Echo Kraut.
79640	80640	Portion?
80640	81640	Und High Portion.
81640	83640	Und den Eta für alle Fälle?
83640	84640	Ja, klar.
84640	85440	Zelt?
85440	86440	Zelt, habe ich.
86440	87440	Aber keine Hütte.
87440	90440	Und ich hoffe, das Allerwichtigste hast du auch eingepackt.
90440	92440	Den Mognus und Saft?
92440	94440	Nein, eigentlich meinte ich die Musik-Books.
94440	96440	Die Musik-Books, natürlich.
96440	98440	Ich vergesse doch nicht die Musik-Box.
98440	101440	Die Musik-Books ist das Wichtigste, was wir buxen und besitzen.
101440	103440	Hast du auch alles abgeschlossen?
103440	105440	Natürlich habe ich alles abgeschlossen.
105440	107440	Auch die Hintertür, die vergisst du ja gerne mal.
