start	end	text
0	17000	Samstag, 3. Januar 2009. Die Einschaltquoten des FFM-Radios sind im Keller. Aus diesem
17000	27120	Grunde wurde eine Sonderversammlung einberufen. Im Bunker des FFM-Radios. Teilnehmer sind DJ
27120	44120	Don und MC Sid. Nein, kein Porno, Sid. Kein Porno. Ja, aber das verkauft sich gut. Sex
44120	48880	sells. Es ist nun mal so. Nein. Ja, mein Gott. Ich mein, wir haben jetzt nicht die Figur,
48880	53360	aber exzentrische Pornos haben auch ihre Marktlücke. Wir sind ein Radio. Das will doch
53360	61480	niemand hören. Könnte sein. Wir brauchen einfach ein neues, frisches Konzept. Irgendwas Schönes,
61480	67440	was die Leute gern mögen. Irgendwie was Lustiges und was Witziges oder was anders ist. Aber
67440	74080	gleichzeitig auch wieder so, wie es die Leute schon kennen. Nur halt total mit neuer Energie und
74080	82160	Kraft und Glück und so. Also was mit nackten Wissenschaftlern, die Baseball spielen. Wir
82160	84600	können doch nicht einfach jetzt nur noch einen Erwachsenen-Show machen, den hört uns doch auch
84600	92200	wieder nix zu. Niemand zu. Hast du eine Idee? Keine Ahnung, vielleicht irgendwas mit Wommeln. Na,
92200	98920	hallo ihr beiden. Jenova, hast du mir die Wäsche mitgebracht? Richtig, ich hab euch die Wäsche
98920	104920	gewaschen, ihr beiden Kleinen. Endlich frische Unterhosen. Mein Chocobo-Pijama, endlich. Der ist
104920	111520	schon so schön kuschelig und warm. Nur mal zu klein, ganz toll. Ich pass da rein. Ich will's nicht
111520	118920	sehen, ich will's nicht sehen. Ich pass da rein. Jenova, wie wärs mit ein paar Schnittchen? Ach Donny,
118920	125080	du kannst doch mal ein bisschen abspecken. Aber, aber Jenova. Wieso? Du hast doch Recht. Recht,
125080	132120	Recht, Recht. Viel Spaß noch, Kinderchen und benehmt euch. Recht, da hab ich, da kommt mir
132120	143040	eine Vision, ein Gefühl, ein Denken, eine Gerichtssendung.
143040	158400	Das ist alles nur deine Schuld. Ist das denn meine Schuld? Ja, eigentlich war dieser komische Doktor
158400	163680	was auch immer. Dr. Stilzken, er heißt Dr. Stilzken. Der war ja eigentlich schon weg. Aber nein,
163680	170240	du mit deinem extra Rad, du musstest ihn ja noch mal anschleppen und dann festhalten und weiß ich
170240	174120	was du alles gemacht hast. Ich hab ihm nichts gemacht. Ich hab ihn einfach nur... Du hast ihn genötigt.
174120	177240	Ich hab doch gehört, doch. Du hast ihn gezwungen irgendwelche Sende und Sachen. Ich hab nur gerufen
177240	182000	Hallo, Dr. Stilzken, mehr hab ich nicht Hallo. Ich hab nur gerufen und gewunken. Du hast ihn die ganze Zeit
182000	187720	gefragt gestellt. Gewunken. Gewunken. Man kann doch mal winken. Das sieht zugelabert. Normales
187720	197320	winken. Nur wegen diesem Betier. Entschuldigung, die Herren. Was? Richterin Gaia erwartet euch in
197320	211340	Gerichtssaal Nummer 9. Ruhe im Gerichtssaal. Staatsanwalt Zeng, verlesen sie bitte die
211340	220140	Anklageschrift. DJ Don und MC Shit sind angeklagt. Der Verschleppung von Dr. Stilzken gemäß
220140	229100	Gesetzkarte Nummer 7, Paragraf 16. Absatz 3. Ich bitte die Angeklagten dazu Stellung zu nehmen.
229100	236300	Aber sicher doch. Also, wir sind unschuldig. Es ist nichts passiert. Überleg dir gut, was du sagst.
236300	241900	Ja, ich überlege mir immer gut, was ich sage. Immer gut. Ja, ganz gut. Also, ich bin unschuldig.
241900	248460	Das schon mal von vornherein. Ich auch. Ja, er auch. Also, wir beide, ich und er, sind unschuldig.
248460	254260	Wir haben nichts gemacht. Wir kennen nicht. Dr. Stilzken habe ich nie gesehen. Dr. sagt mir
254260	262420	gar nichts. Kenn ich nicht. Nie gehört. Einspruch. Gemäß Beweisstück A, was der Richterin vorliegt,
262420	272100	haben wir Audiomaterial, was sie, DJ Don, zusammen mit Dr. Stilzken aufgenommen hat.
272100	278860	Ja, das sind Aufnahmen, dass, ich habe ja gesagt, ich habe ihn nicht gesehen. Ich meine, ich damit
278860	282900	meine natürlich, dass ich mir meine Gäste nicht genau angucke. Die Aufnahmen fanden statt. Aber es
282900	286260	war alles sehr, also ich habe nur so zufällig halt so drüber geschaut. Ich habe nur einen Bommel
286260	290780	gesehen. Diese Box sind ja klein. Also, ich habe ihn, habe ich nicht genau gesehen. Das war nur
290780	295660	dem Bommel. Ich war übrigens nicht dabei. Ich war ganz woanders zu dem Zeitpunkt. Aber MC
295660	301300	Sidd war ja auch dabei als Dr. Stilzken. Er kam ja selber. Er hat uns sicher, eigentlich uns
301300	305860	aufgedrängt, in die Sendung zu kommen. Also, in dem Sinne ist, dass die Verschleppung, die Tat der
305860	311380	Verschleppung hat nie stattgefunden. Ich habe ihn nicht eingeladen. Genau. Ich war es. Nicht. Doch.
311380	320500	Bestehen noch Fragen seitens der Staatsanwaltschaft? Ich rufe Dr. Stilzken in den Zeugenstand.
320500	329580	Also, ich bin Dr. Stilzken, Kupo. Und ich bin hier im Zeugenstand, weil ich soll aussagen über die
329580	335060	Verschleppung, meine Verschleppung, Kupo. Ich habe verschiedene Sachen gemacht im FFM-Radio. Ich war
335060	340700	dabei und ich habe alles gesehen. Alles, Kupo, habe ich gesehen, Kupo. Es war in einer großen
340700	347660	Veranstaltung. Es war gigantisch. Also, ich habe da, ich war da und dieser DJ Don, also er hat mich
347660	355420	da völlig festgehalten, gebunden. Bitte, Herr Dr. Stilzken, beruhigen Sie sich. Natürlich. Ich bin
355420	363220	ja Dr. Dr. Stilzken, Kupo. Und Akademiker bin ich, Kupo. Die Angeklagten dürfen jetzt den Zeugen
